epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,3955.08,0.73963,0.71499,0.55671,0.00256,0.10034,0.95958,0.92861,0.96691,0.85753,0.96329,0.93221,0.97097,0.80526,0.52079,0.64228,0.28004,0.00297,0,0.01845,0.00615,0.01845,0.00615,0.01845,0.00615,0.01845,0.00615
37,4061.64,0.73416,0.70987,0.57473,0.00252,0.10068,0.93953,0.93371,0.96714,0.85598,0.94208,0.93637,0.96994,0.80404,0.51805,0.62732,0.29192,0.00292,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
38,4168.08,0.7328,0.73394,0.54659,0.0025,0.09615,0.95195,0.93793,0.96854,0.85931,0.9561,0.94182,0.97296,0.80613,0.52415,0.62907,0.2712,0.00299,0,0.01779,0.00593,0.01779,0.00593,0.01779,0.00593,0.01779,0.00593
39,4274.89,0.71832,0.69737,0.53078,0.00242,0.09413,0.96104,0.93103,0.96745,0.85731,0.96006,0.93591,0.97113,0.79722,0.51749,0.64645,0.27676,0.00297,0,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582
40,4380.7,0.73216,0.70265,0.52844,0.00248,0.09298,0.95899,0.93835,0.97021,0.86604,0.96012,0.93947,0.97232,0.80939,0.49659,0.61705,0.2742,0.00281,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
41,4488.97,0.69754,0.67978,0.49991,0.00239,0.08686,0.96241,0.94195,0.97261,0.86881,0.96358,0.94335,0.97424,0.80872,0.49421,0.64357,0.26339,0.00278,0,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056
42,4600.02,0.7063,0.68436,0.52629,0.00239,0.08749,0.95632,0.94255,0.97107,0.86775,0.95798,0.9446,0.97373,0.81057,0.49329,0.64959,0.26295,0.00278,0,0.01647,0.00549,0.01647,0.00549,0.01647,0.00549,0.01647,0.00549
43,4711.47,0.69979,0.68484,0.49703,0.00234,0.08865,0.95033,0.94162,0.97091,0.87271,0.95329,0.94502,0.97463,0.81426,0.48179,0.63814,0.25831,0.00267,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
44,4819.81,0.71169,0.7117,0.51695,0.00239,0.09233,0.96081,0.9492,0.97163,0.87475,0.96302,0.94887,0.97352,0.8105,0.48153,0.60747,0.24568,0.00268,0,0.01581,0.00527,0.01581,0.00527,0.01581,0.00527,0.01581,0.00527
45,4925.81,0.68842,0.68505,0.49913,0.00236,0.08665,0.96444,0.9432,0.97284,0.87583,0.97044,0.94475,0.97659,0.80823,0.47763,0.59922,0.23888,0.00262,0,0.01548,0.00516,0.01548,0.00516,0.01548,0.00516,0.01548,0.00516
46,5032.84,0.6972,0.68276,0.49853,0.00232,0.08612,0.97054,0.93786,0.97397,0.87706,0.9725,0.94213,0.97623,0.81371,0.47315,0.59248,0.24096,0.00263,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
