epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,54457.7,0.09117,0.26145,0.02559,0.88688,0.9933,0.0239,0.50927,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,55614.3,0.09167,0.26459,0.02609,0.88905,0.99344,0.02156,0.5086,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,56771.6,0.09088,0.26249,0.02515,0.88549,0.99338,0.02201,0.50667,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,57928.7,0.08806,0.26181,0.02492,0.89561,0.99386,0.02212,0.49075,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,59085.8,0.0849,0.2568,0.02402,0.89941,0.99428,0.0201,0.50406,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,60242.6,0.08531,0.26223,0.0242,0.90637,0.99457,0.01881,0.49802,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,61399.8,0.08361,0.24836,0.02406,0.90646,0.99465,0.01705,0.48497,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,62557.4,0.08246,0.24801,0.02349,0.90613,0.99459,0.01877,0.47508,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,63714.2,0.0854,0.24906,0.02414,0.9063,0.99463,0.01834,0.47471,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,64871.7,0.0841,0.24594,0.02349,0.90767,0.99465,0.01939,0.46147,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,66028.9,0.08288,0.24673,0.02321,0.89801,0.99419,0.01997,0.47459,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,67185.2,0.08171,0.24536,0.02297,0.90366,0.99453,0.018,0.47608,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,68341.9,0.0798,0.24047,0.02244,0.91748,0.99519,0.0155,0.42712,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,69498.8,0.08611,0.23323,0.02331,0.91218,0.99501,0.01635,0.39314,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,70655.3,0.08366,0.23026,0.02245,0.91387,0.99495,0.01698,0.4053,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,71813.3,0.08188,0.22969,0.02221,0.91663,0.99512,0.01609,0.39724,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,72969.7,0.08186,0.22933,0.02253,0.91599,0.99509,0.01621,0.39509,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,74126.8,0.08105,0.23052,0.02198,0.91408,0.995,0.01803,0.39283,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,75283.1,0.08193,0.22608,0.02247,0.91485,0.99501,0.01635,0.39493,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,76439.7,0.08373,0.22347,0.02249,0.92438,0.99546,0.01521,0.39447,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,77596.9,0.07849,0.2233,0.02151,0.92091,0.9954,0.01504,0.39711,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,78753.9,0.07602,0.21551,0.02029,0.92127,0.99534,0.01556,0.39233,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,79911.8,0.08191,0.22865,0.02249,0.9273,0.99573,0.01434,0.37641,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,81071.8,0.0812,0.21921,0.02156,0.92486,0.9957,0.01408,0.37238,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,82230.4,0.07749,0.21155,0.02053,0.92322,0.99565,0.01413,0.37145,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,83389.6,0.06849,0.21418,0.01936,0.924,0.9957,0.01418,0.37372,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,84557.1,0.07379,0.20824,0.0203,0.92717,0.99582,0.01401,0.37967,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,85721.1,0.07102,0.20312,0.01975,0.92924,0.99591,0.0143,0.37838,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,86878.7,0.06902,0.20619,0.01939,0.9263,0.99578,0.01428,0.37794,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,88036.9,0.06984,0.20287,0.01932,0.92515,0.99574,0.01497,0.37698,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,89201.7,0.07029,0.19964,0.01938,0.9216,0.99562,0.01577,0.36918,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,90368.2,0.06539,0.19516,0.01845,0.92515,0.9958,0.01494,0.36765,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,91535.5,0.07035,0.19926,0.01948,0.92676,0.99583,0.01436,0.36392,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,92702,0.06689,0.19541,0.01841,0.92747,0.99587,0.01402,0.35839,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,93869.9,0.06965,0.19279,0.0186,0.9283,0.99596,0.01386,0.3437,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,95036.9,0.0726,0.19562,0.01925,0.93064,0.99609,0.01326,0.32176,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,96203,0.06907,0.18109,0.01843,0.93426,0.99626,0.01283,0.3126,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,97370.5,0.07188,0.18458,0.01875,0.93357,0.99621,0.01289,0.3082,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,98538.9,0.06606,0.17982,0.01764,0.93491,0.99629,0.01249,0.3073,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,99707.5,0.06664,0.18442,0.01818,0.93577,0.99633,0.01217,0.30533,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,100875,0.06674,0.18498,0.01779,0.93388,0.99625,0.01242,0.30478,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
