epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,38952.2,0.06093,0.43176,0.00852,0.24646,0.98886,0.09617,0.25528,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,39532.8,0.06038,0.41728,0.00868,0.24392,0.98883,0.09717,0.24574,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,40113.4,0.05914,0.42248,0.00839,0.25934,0.989,0.0934,0.25776,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,40694.3,0.0589,0.42503,0.00857,0.26709,0.98916,0.09213,0.26624,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,41275.4,0.05797,0.42718,0.00851,0.27259,0.98943,0.09,0.27861,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,41856.9,0.0568,0.425,0.00839,0.27449,0.98887,0.09145,0.28388,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,42437.8,0.05929,0.42066,0.00839,0.27699,0.98899,0.09152,0.27937,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,43018.3,0.05633,0.41139,0.00812,0.28034,0.98938,0.09073,0.26806,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,43599.1,0.05866,0.42238,0.00823,0.28808,0.98978,0.08974,0.26024,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,44180,0.05792,0.38444,0.00837,0.29635,0.99011,0.0889,0.24769,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,44761.3,0.0541,0.39092,0.00758,0.30218,0.99049,0.08685,0.23652,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,45342.1,0.05787,0.39303,0.00821,0.29855,0.99014,0.08917,0.23533,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,45923.4,0.0546,0.40046,0.00782,0.30995,0.99032,0.08783,0.23651,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,46504.3,0.0563,0.39874,0.00784,0.31703,0.99019,0.08764,0.24224,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,47085.5,0.05246,0.39527,0.00747,0.32085,0.98989,0.08763,0.25396,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,47666.1,0.054,0.39088,0.00783,0.3204,0.98947,0.08771,0.26195,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,48247.3,0.05194,0.392,0.00734,0.3196,0.98921,0.08849,0.26853,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,48828.3,0.05128,0.37367,0.00732,0.3209,0.98921,0.08794,0.27247,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,49409.4,0.05284,0.37646,0.0075,0.32652,0.98948,0.08709,0.2652,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,49990.9,0.05239,0.38283,0.00754,0.33467,0.98974,0.0857,0.26529,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,50572.8,0.05455,0.37605,0.0079,0.33789,0.98992,0.08472,0.26336,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,51153.7,0.05217,0.37409,0.00758,0.34479,0.99019,0.0838,0.26279,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,51734.5,0.04899,0.37013,0.00716,0.34949,0.99027,0.08281,0.26681,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,52315.3,0.05086,0.39226,0.0071,0.35135,0.99024,0.08261,0.27471,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,52866.5,0.20987,0.52398,0.03258,0.35513,0.99014,0.08059,0.2775,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,53418.2,0.15249,0.47728,0.02364,0.36617,0.99046,0.07715,0.2798,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,53969.9,0.14338,0.452,0.02213,0.37725,0.99084,0.07433,0.27583,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,54522.4,0.13657,0.44387,0.02063,0.38637,0.99112,0.07233,0.266,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,55073.4,0.13162,0.42897,0.02023,0.39371,0.99135,0.07066,0.263,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,55624,0.12499,0.42127,0.01906,0.40164,0.99164,0.06904,0.26066,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,56175.2,0.12532,0.40982,0.01924,0.40932,0.99189,0.06762,0.25414,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,56726.3,0.12145,0.39814,0.01848,0.41603,0.99212,0.06653,0.2493,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,57276.5,0.11874,0.40142,0.01834,0.4209,0.99229,0.06566,0.24614,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,57827.9,0.11656,0.39241,0.01814,0.42523,0.99244,0.0647,0.24333,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
