epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,10175.9,0.68381,0.60123,0.95882,0.97442,0.9508,0.97766,0.82385,0.62305,0.35398,0.90652,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10370.5,0.68681,0.60338,0.96201,0.97373,0.9481,0.97711,0.8255,0.61727,0.35032,0.90451,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10569.9,0.68069,0.5933,0.95616,0.96971,0.94896,0.97561,0.82519,0.62022,0.35298,0.90296,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10768.5,0.6794,0.57832,0.95738,0.96603,0.95035,0.97656,0.81583,0.65079,0.35459,0.91002,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10966.7,0.67599,0.57865,0.95537,0.97528,0.95391,0.97741,0.82749,0.60825,0.34534,0.90158,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11163.2,0.67001,0.56947,0.95456,0.97088,0.95579,0.97764,0.83275,0.5921,0.33863,0.89339,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11360.9,0.67135,0.57312,0.95412,0.96228,0.96054,0.97668,0.82858,0.60864,0.33703,0.89811,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11560.1,0.66489,0.56011,0.95132,0.97569,0.95486,0.97801,0.83257,0.59622,0.33564,0.89754,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11755.6,0.66569,0.55549,0.94869,0.97767,0.95889,0.97765,0.83219,0.59672,0.33697,0.89551,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11954.3,0.65852,0.55318,0.94605,0.96717,0.95948,0.97795,0.83815,0.5842,0.32905,0.89072,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12151.9,0.65735,0.54777,0.94704,0.97253,0.9625,0.97815,0.84236,0.57009,0.32026,0.88671,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12350.6,0.65267,0.5457,0.94564,0.97591,0.9569,0.97879,0.8485,0.55518,0.32114,0.88251,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12547.4,0.65273,0.53997,0.94571,0.97876,0.95407,0.98028,0.85151,0.54608,0.31682,0.88083,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12743.9,0.64991,0.53778,0.94299,0.97613,0.95284,0.97974,0.85547,0.53149,0.31414,0.87795,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12941.7,0.64731,0.53465,0.94327,0.97334,0.96247,0.97922,0.85382,0.54022,0.31215,0.88066,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13139.7,0.64693,0.53648,0.94458,0.97352,0.95684,0.9789,0.85724,0.53054,0.30942,0.87951,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13336.3,0.63879,0.52524,0.93744,0.97327,0.95499,0.97837,0.86135,0.5194,0.30631,0.87459,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13534.3,0.6339,0.51754,0.93687,0.97793,0.96218,0.97922,0.86269,0.51147,0.30423,0.87076,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13732.6,0.64191,0.52255,0.94046,0.97971,0.95975,0.98019,0.86367,0.50633,0.30037,0.8685,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13927.9,0.63285,0.51311,0.9352,0.97786,0.96272,0.97955,0.86191,0.51071,0.29797,0.87044,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14125.9,0.63421,0.51007,0.93781,0.9797,0.95981,0.98089,0.86327,0.51232,0.29562,0.87073,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14324.9,0.6261,0.49558,0.92888,0.98083,0.9589,0.97971,0.86405,0.50714,0.2946,0.86901,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14524.3,0.62505,0.49416,0.93279,0.97489,0.95834,0.97902,0.86533,0.50595,0.29495,0.87009,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14719.9,0.62356,0.49172,0.93393,0.97948,0.96313,0.98005,0.86615,0.50551,0.2918,0.86854,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14917.3,0.62115,0.48625,0.93125,0.9781,0.96158,0.97937,0.86656,0.50117,0.29041,0.86676,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15115,0.61416,0.48782,0.92647,0.97938,0.95762,0.97987,0.86855,0.49894,0.29158,0.86671,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15313.1,0.61508,0.47972,0.93167,0.98326,0.95697,0.97992,0.86647,0.50057,0.28829,0.86724,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15509,0.61316,0.47482,0.92769,0.97882,0.95962,0.97984,0.86751,0.4975,0.2881,0.86697,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15708,0.60502,0.46635,0.92358,0.97853,0.95935,0.9804,0.8685,0.49499,0.28758,0.86662,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15905.6,0.61056,0.47242,0.92905,0.97861,0.95685,0.97976,0.8686,0.49298,0.28574,0.86653,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16102,0.60206,0.46419,0.92401,0.97688,0.95926,0.98055,0.86915,0.49033,0.28598,0.86634,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16297.6,0.59985,0.46097,0.92103,0.97772,0.95906,0.98061,0.87266,0.48168,0.28299,0.8646,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16496.3,0.59566,0.45161,0.91986,0.97993,0.96062,0.97995,0.87453,0.47642,0.28143,0.86109,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,16693.1,0.59548,0.45051,0.92003,0.98199,0.95783,0.98122,0.87261,0.47914,0.27881,0.86176,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16892,0.5919,0.45488,0.91864,0.97643,0.95845,0.98049,0.87298,0.48152,0.27796,0.8623,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17088.6,0.59212,0.43961,0.92172,0.97596,0.9593,0.98045,0.87371,0.48114,0.27664,0.86228,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17286,0.5913,0.44998,0.91751,0.97692,0.95973,0.98042,0.87386,0.48145,0.27538,0.86236,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17483.1,0.58285,0.44109,0.91307,0.97972,0.95878,0.98082,0.8738,0.48076,0.2757,0.86142,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17680,0.58353,0.43948,0.91554,0.9817,0.95602,0.9808,0.87335,0.48001,0.27477,0.86081,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17876,0.58106,0.43078,0.91319,0.98349,0.95673,0.98083,0.87384,0.47902,0.27454,0.86001,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18072.3,0.49782,0.29059,0.86959,0.97835,0.96286,0.98073,0.8737,0.47711,0.2739,0.85898,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18268.4,0.48964,0.28013,0.86399,0.97347,0.96508,0.98053,0.87521,0.47504,0.27342,0.85775,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18463.3,0.48322,0.27337,0.8636,0.9774,0.96231,0.98021,0.87479,0.47606,0.27327,0.85772,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18655.9,0.48177,0.26999,0.86343,0.97759,0.96247,0.98091,0.87519,0.47563,0.27309,0.85786,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18849.8,0.47318,0.26514,0.8614,0.97832,0.96325,0.98081,0.87536,0.47554,0.27276,0.85756,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19044.7,0.47089,0.25985,0.86039,0.97929,0.96404,0.98079,0.87631,0.47537,0.27253,0.85724,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19238.9,0.46705,0.25842,0.85554,0.9795,0.96489,0.98049,0.87515,0.47778,0.27203,0.85826,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19431,0.46221,0.25384,0.85394,0.979,0.96389,0.98041,0.87643,0.47814,0.27139,0.85809,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19624.1,0.46206,0.25189,0.85325,0.97913,0.96355,0.97988,0.87583,0.47803,0.27129,0.85808,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19818.1,0.45519,0.24671,0.85399,0.97969,0.96324,0.98029,0.87558,0.47973,0.27112,0.85895,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
