epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,3807.58,0.66994,0.52582,0.91416,0.97649,0.95605,0.97654,0.83749,0.57772,0.32528,0.8582,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3856.44,0.66758,0.52304,0.90834,0.97688,0.95231,0.97661,0.83966,0.5718,0.32557,0.85677,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3904.7,0.65855,0.50849,0.90387,0.97266,0.95501,0.97661,0.84122,0.5669,0.32215,0.85595,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3952.78,0.65747,0.50377,0.90735,0.97166,0.95601,0.97661,0.84541,0.55489,0.31934,0.85396,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4001.09,0.65198,0.5071,0.90301,0.97212,0.95858,0.97682,0.84606,0.55344,0.31746,0.85326,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4049.38,0.65369,0.49545,0.90463,0.97271,0.95761,0.97646,0.84669,0.54578,0.31602,0.85149,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4097.59,0.655,0.50384,0.90262,0.96994,0.95902,0.97672,0.84899,0.54054,0.31332,0.85099,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4145.68,0.64355,0.48953,0.90144,0.96748,0.95947,0.97619,0.84972,0.54125,0.31164,0.85145,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4194.09,0.63992,0.49651,0.90216,0.96763,0.95859,0.97664,0.84936,0.54723,0.31162,0.85254,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4242.34,0.6536,0.50491,0.90383,0.96803,0.96004,0.977,0.84919,0.54944,0.31087,0.85274,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4290.36,0.63422,0.47951,0.89752,0.97363,0.95754,0.97763,0.84866,0.55276,0.31089,0.85283,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4339.94,0.62979,0.47362,0.89352,0.96904,0.95997,0.97792,0.84848,0.55263,0.31029,0.8531,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4387.8,0.64153,0.48989,0.8995,0.97334,0.9569,0.97739,0.84849,0.55194,0.30901,0.8527,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4435.62,0.62725,0.47323,0.89606,0.97498,0.95546,0.97824,0.85012,0.54879,0.30848,0.85196,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4487.57,0.53475,0.3223,0.85465,0.97523,0.95662,0.97796,0.85149,0.54552,0.30786,0.8513,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4536.42,0.52264,0.3068,0.84903,0.97627,0.95672,0.97786,0.85208,0.54295,0.30761,0.85065,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4584.76,0.51789,0.30557,0.84912,0.97777,0.95793,0.97785,0.85163,0.54275,0.30701,0.85043,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4632.14,0.51419,0.30025,0.84381,0.97761,0.95855,0.97803,0.85174,0.54213,0.30588,0.85007,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4680.29,0.50765,0.2942,0.84391,0.97895,0.95915,0.97794,0.85305,0.54215,0.30532,0.85003,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4728.26,0.50247,0.29169,0.84185,0.97995,0.95843,0.97798,0.85287,0.54247,0.30516,0.8499,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4775.88,0.4972,0.28579,0.84184,0.98024,0.95918,0.97855,0.85453,0.5396,0.30371,0.84925,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4824.15,0.49104,0.27741,0.84054,0.97984,0.9596,0.97823,0.85459,0.53828,0.30315,0.84883,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4872.09,0.4839,0.2742,0.83677,0.9808,0.95928,0.97825,0.85452,0.53817,0.30296,0.84868,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4920.72,0.48863,0.27762,0.83809,0.97776,0.95987,0.97823,0.8553,0.53562,0.30201,0.84809,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
